"guid","Vertical Section Name","Site Section"
"FEA001","Features","Features",
"DEC001","December","This Day in History",
"NOV001","November","This Day in History",
"OCT001","October","This Day in History",
"SEP001","September","This Day in History",
"AUG001","August","This Day in History",
"JUL001","July","This Day in History",
"JUN001","June","This Day in History",
"MAY001","May","This Day in History",
"SPO001","Sport","Topics",
"APR001","April","This Day in History",
"MAR001","March","This Day in History",
"FEB001","February","This Day in History",
"JAN001","January","This Day in History",
"WOR002","World War 2","Topics",
"WOR001","World War 1","Topics",
"PRO001","Promo","",
"MIC001","Microsite","Microsite",
"HIS002","History of London","Topics",
"HIS001","History of America","Topics",
"BIO001","Biographies","People",
"ANI001","Animals of War","Topics",
